Valor,Bairro,N_quartos,N_banheiros,Area
135000.0,República,1.0,1.0,12
730000.0,São Judas,3.0,2.0,
699000.0,São Judas,3.0,2.0,73
889900.0,Tatuapé,3.0,4.0,123
900000.0,Parque São Domingos,3.0,4.0,200
655000.0,São Judas,2.0,2.0,
660000.0,Vila São Francisco,3.0,2.0,82
805000.0,Moema,2.0,1.0,75
2847000.0,Aclimação,3.0,5.0,213
299000.0,Santana,2.0,1.0,60
1200000.0,Santana,4.0,5.0,160
850000.0,Santana,3.0,3.0,140
1500000.0,Santana,3.0,6.0,233
1650000.0,Santana,3.0,5.0,145
3200000.0,Consolação,4.0,4.0,362
450000.0,Mirandópolis,2.0,2.0,60
470000.0,Lapa,2.0,2.0,56
530000.0,Saúde,2.0,2.0,85
750000.0,Moema,3.0,2.0,105
400001.0,República,1.0,1.0,30
696900.0,Ipiranga,3.0,3.0,93
753000.0,Panamby,3.0,2.0,110
490000.0,Lapa,2.0,2.0,65
1360000.0,Moema,3.0,3.0,104
461500.0,Moema,1.0,1.0,48
670000.0,Lapa,2.0,2.0,72
694149.0,Liberdade,2.0,2.0,68
850000.0,Butantã,3.0,3.0,145
1590000.0,Moema,2.0,3.0,120
2100000.0,Moema,4.0,4.0,220
150000.0,Butantã,1.0,1.0,45
270000.0,Butantã,2.0,1.0,55
450000.0,Butantã,2.0,2.0,61
2000000.0,Cambuci,3.0,4.0,290
456000.0,Liberdade,2.0,1.0,45
305000.0,Panamby,1.0,1.0,43
1392920.0,Perdizes,3.0,4.0,116
1028215.0,Jardins,2.0,2.0,70
630000.0,Tatuapé,3.0,3.0,87
1000000.0,Tatuapé,4.0,3.0,110
1080000.0,Perdizes,3.0,4.0,127
670000.0,Perdizes,2.0,2.0,65
750000.0,Pompéia,3.0,2.0,98
440000.0,Cambuci,3.0,,68
530000.0,Mooca,1.0,1.0,70
850000.0,Pinheiros,2.0,3.0,80
1390000.0,Pinheiros,2.0,3.0,182
378000.0,Butantã,3.0,2.0,75
2700000.0,Brooklin,4.0,4.0,185
1390000.0,Moema,3.0,2.0,123
2500000.0,Brooklin,3.0,3.0,163
780000.0,Brooklin,3.0,,115
1050000.0,Brooklin,2.0,2.0,70
350000.0,Pirituba,3.0,2.0,61
530000.0,Pompéia,2.0,2.0,53
560000.0,Pirituba,2.0,3.0,72
350000.0,Saúde,1.0,,42
2200000.0,Morumbi,5.0,6.0,245
700000.0,Ipiranga,3.0,3.0,76
500000.0,Ipiranga,2.0,1.0,82
960000.0,Moema,3.0,2.0,100
455000.0,Liberdade,1.0,1.0,43
320000.0,Butantã,2.0,1.0,50
630000.0,Butantã,3.0,2.0,106
350000.0,Jaguaré,2.0,2.0,65
227000.0,Perdizes,1.0,1.0,17
370000.0,Penha,2.0,1.0,58
430000.0,Ipiranga,2.0,2.0,63
685000.0,Cambuci,3.0,2.0,78
1190000.0,Pirituba,3.0,,131
415000.0,Jabaquara,3.0,1.0,68
583000.0,Jabaquara,3.0,2.0,90
410000.0,Jabaquara,3.0,1.0,71
980000.0,Tatuapé,3.0,4.0,115
735000.0,Morumbi,3.0,3.0,110
275000.0,Perdizes,1.0,1.0,17
450000.0,Brooklin,1.0,1.0,44
3400000.0,Moema,3.0,4.0,200
322000.0,Belém,2.0,2.0,55
1100000.0,Aclimação,3.0,3.0,105
330000.0,Pirituba,2.0,2.0,54
550000.0,Consolação,2.0,1.0,54
1200000.0,Brooklin,4.0,2.0,187
700000.0,Ipiranga,3.0,3.0,112
690000.0,Ipiranga,3.0,2.0,120
279900.0,Ipiranga,2.0,1.0,52
369405.0,República,1.0,1.0,27
996000.0,Brooklin,2.0,3.0,81
668000.0,Mooca,3.0,2.0,82
720000.0,Mooca,2.0,2.0,82
1200000.0,Perdizes,3.0,4.0,135
3000000.0,Brooklin,4.0,3.0,192
1700000.0,Moema,4.0,3.0,210
1900000.0,Santana,3.0,5.0,189
585000.0,Santana,3.0,3.0,90
2848660.0,Moema,4.0,5.0,163
390000.0,Consolação,1.0,1.0,30
800000.0,Perdizes,2.0,2.0,70
430000.0,Lapa,2.0,1.0,53
180000.0,Centro,1.0,1.0,22
828603.0,Brooklin,2.0,2.0,70
420000.0,Moema,1.0,1.0,42
349000.0,Mooca,2.0,2.0,63
465000.0,Centro,1.0,2.0,64
349000.0,Centro,2.0,2.0,63
320000.0,Imirim,2.0,1.0,51
980000.0,Lapa,3.0,5.0,130
1280000.0,Brooklin,4.0,3.0,164
1050000.0,Moema,2.0,2.0,76
445200.0,Jardins,1.0,1.0,37
860000.0,Moema,3.0,3.0,85
310000.0,Consolação,1.0,1.0,22
2850000.0,Indianópolis,3.0,4.0,260
883500.0,Pinheiros,1.0,,57
28000000.0,Moema,3.0,3.0,539
5470000.0,Moema,4.0,5.0,306
8000000.0,Moema,4.0,5.0,400
450000.0,Lapa,2.0,1.0,54
795000.0,Tatuapé,3.0,,93
240000.0,Jabaquara,2.0,1.0,49
499000.0,Interlagos,2.0,2.0,72
1550000.0,Santana,3.0,4.0,170
980000.0,Mandaqui,2.0,3.0,218
415000.0,Limão,3.0,2.0,65
2220000.0,Jardim Europa,1.0,2.0,82
415000.0,Vila Mariana,2.0,2.0,
2700000.0,Jardim Paulista,3.0,1.0,310
435000.0,Jardim Santa Terezinha,2.0,2.0,62
2130000.0,Vila Mariana,3.0,5.0,220
500000.0,Pompéia,2.0,2.0,77
1012000.0,Jardim Paulista,2.0,1.0,97
2400000.0,Itaim Bibi,4.0,5.0,217
1800000.0,Vila Uberabinha,4.0,3.0,209
680000.0,Ipiranga,3.0,3.0,93
700000.0,Saúde,3.0,2.0,80
5800000.0,Itaim Bibi,2.0,5.0,292
819000.0,Vila Olímpia,3.0,1.0,105
849000.0,Jardim Sul,3.0,5.0,143
469900.0,Campo Belo,1.0,1.0,43
202000.0,Itaquera,2.0,1.0,49
215000.0,Freguesia Do Ó,2.0,1.0,47
265000.0,Limão,2.0,1.0,50
549000.0,Santa Cecília,2.0,1.0,80
583000.0,Santa Cecília,2.0,2.0,95
330000.0,Vila Prudente,2.0,1.0,68
380000.0,Vila Andrade,1.0,1.0,49
400000.0,Vila Prudente,3.0,2.0,74
379000.0,Jardim Prudência,2.0,1.0,65
525000.0,Jardim Prudência,2.0,2.0,62
320000.0,Jardim Marajoara,3.0,1.0,67
320000.0,Cidade Ademar,2.0,1.0,70
290000.0,Cidade Ademar,3.0,2.0,64
313000.0,Mandaqui,3.0,1.0,61
199000.0,Jaraguá,2.0,1.0,37
1110000.0,Vila Clementino,4.0,2.0,137
690000.0,Vila Mariana,3.0,3.0,85
360000.0,Itaim Bibi,1.0,1.0,35
1100000.0,Jardim Paulista,3.0,3.0,96
290000.0,Bela Vista,1.0,1.0,34
365000.0,Bela Vista,1.0,1.0,45
220000.0,Capão Redondo,3.0,1.0,60
765000.0,Jardim Paulista,2.0,2.0,56
290000.0,Bela Vista,1.0,1.0,34
420000.0,Vila Prudente,3.0,2.0,81
1300000.0,Jardim Paulista,3.0,3.0,162
776200.0,Santo Amaro,2.0,2.0,75
1120000.0,Saúde,3.0,1.0,107
1070000.0,Vila Uberabinha,3.0,2.0,120
195000.0,Vila Prudente,1.0,1.0,35
1050000.0,Brooklin,2.0,2.0,80
